Restaurant Name,restaurant_key
The Hazelnut Factory,431
The Pizza Project by Oven Story,432
Yadav Doodh Dairy,433
Ritz Mithai Vatika,434
Vijay Dairy,435
Burgrill - OG's of Grilled Burger,436
Roll Xpress,437
Ram Dairy,438
Deep Sweets,439
The Prashadam,440
Bansal Amritsari Kulcha,441
Apna Vaishno Dhaba,442
Amritsari Food Platter,443
Krishnaz,444
The Food Villa,445
Dhabha PB03,446
RB Rolls And Fast Food,447
Steam And Sizzle Cafe,448
Uttam Sweets Bakery & Restaurant,449
Gurukripa Restaurant - Sarwate,450
Jain Mithai Bhandar (JMB),451
Vrindavan Restaurant,452
Manbhawan Sweets,453
Zaika Family Fast Food,454
Grand Biryani Mahal,455
Hotel Shagun,456
Harilal's,457
Punjabi Rasoi,458
Winni Cakes & More,459
Royal The City Club Restaurant,460
Bunk Restro & Cafe,461
City Nation Cafe,462
Dilli Dhaba And Restaurant,463
Kingdom of Momos,464
Briyanis Mahal,465
Cherry Sweets & Confectioners,466
Krishnashree,467
Annpurna Thali,468
Patna Biryani Club,469
N Chennai Express,470
Bikaner Elite,471
IGP Cakes,472
7th Heaven,473
Momo Nation Cafe,474
Barbecue Live,475
Elite Family Choice Restaurant,476
Biryani Hut,477
Paprika - Pramod Laddu Bhandar,478
Kolkata Royal Biryani House,479
Veer Ji Malai Chaap Wale,480
Chai Sutta Bar,481
Biryani Paradise,482
Awadhi,483
Matkawala,484
Pour Tous,485
Scholars,486
Jugaad Jn,487
Hotel Maharaja and Fast Food,488
Shreelal Food Plaza,489
Country Kitchen,490
Biggies Burger,491
Roti Ghar,492
Shree Krishna Bhojanalaya,493
Mio Amore,494
Vaango,495
Monginis Cake Shop,496
Odiani Hotel & Restaurant,497
Giani,498
Prasadam Temple Prasad,499
Priya Restaurant,500
Asia Seven - Sizzling Chinese,501
Classic 11,502
Appetizer,503
Mahalaxmi Sweets,504
hotel Toshali,505
Rajani's Kitchen,506
Arabikaas Arabian Restaurant,507
Swastik Mom's Kitchen,508
M/S Girija Hotel,509
Bawarchi Ac Family Restaurant,510
New Mughlai Restaurant,511
Delly Belly,512
Burger Singh(Big Punjabi Burgers),513
Mughlai Restaurant,514
Jagannath Mandir Arna Prasad,515
Oberai Bakers & Cafe,516
Bawarchi Fast Food,517
Daawat-E   Biryani,518
FNP- Ferns N Petals,519
Om Sweets & Snacks,520
Harish Bakery,521
Mealy - Your Everyday Meal,522
Tossin Pizza,523
Alakapuri,524
Rahmaniya Kethel's Chicken,525
Gokul Oottupura,526
Zaatar Arabic Restaurant,527
Ifthar,528
Palaaram,529
Chiyang,530
Malabar Plaza,531
Pandhal Cake Shop,532
Kudil Restaurant,533
Samridhi At Kochi,534
Golden Dragon,535
I Deli Cafe,536
THE PERSIAN TABLE,537
Uthuppans Uppum Mulakum Restaurant,538
Dessi Cuppa,539
The Coconut,540
Hotel Saj International,541
Octopus Bakes and Bistro,542
Snoosh Ice Cream Parlour,543
Porch Grill Restaurant,544
Supreme Upper Crust,545
Cake Hut,546
Club Shawaya,547
Hotel Al Reem,548
Papputt's Valsa Cafe,549
Dubai Hut,550
Cochin Rahumania,551
Bektash,552
Le Meridien - Latest Recipe,553
Aryaas,554
Rice N Roti,555
Khana Khazana,556
