State,City,Location,location_key
Punjab,Chandigarh,Industrial Area Phase 1,323
Punjab,Chandigarh,Sector 36D,324
Punjab,Chandigarh,Sector 35,325
Punjab,Chandigarh,Sector 22,326
Punjab,Chandigarh,Sector 35 C,327
Punjab,Chandigarh,East Chandigarh,328
Madhya Pradesh,Indore,Phoenix,329
Madhya Pradesh,Indore,Vijay Nagar,330
Madhya Pradesh,Indore,PHOENIX CITADEL,331
Madhya Pradesh,Indore,Nipania,332
Madhya Pradesh,Indore,Khajrana,333
Madhya Pradesh,Indore,Talawali,334
Madhya Pradesh,Indore,Phoenix Citadel Mall,335
Madhya Pradesh,Indore,Pushp Vihar Colony,336
Madhya Pradesh,Indore,Scheme 54,337
Madhya Pradesh,Indore,Bypass South,338
Madhya Pradesh,Indore,PHOENIX CITADEL MALL,339
Madhya Pradesh,Indore,131 Scheme,340
Madhya Pradesh,Indore,Village Khajrana Citadel Indore,341
Madhya Pradesh,Indore,Vijaya Nagar,342
Madhya Pradesh,Indore,Scheme No 74,343
Madhya Pradesh,Indore,Satya Sai Square,344
Madhya Pradesh,Indore,NEAR VIRANDAVAN RESTAURANT,345
Madhya Pradesh,Indore,Dewas City,346
Madhya Pradesh,Indore,Dewas Locality,347
Madhya Pradesh,Indore,Gomti Nagar,348
Madhya Pradesh,Indore,Ram Nagar,349
Madhya Pradesh,Indore,TILAK NAGAR,350
Karnataka,Bengaluru,yelahanka,351
Karnataka,Bengaluru,Yelahanka New Town,352
Karnataka,Bengaluru,Yelahanka New,353
Karnataka,Bengaluru,YELAHANKA,354
Karnataka,Bengaluru,Virupakshapura,355
Karnataka,Bengaluru,Yelahanka Sector B,356
Karnataka,Bengaluru,Yelhanka,357
Karnataka,Bengaluru,Sahakara Nagar,358
Karnataka,Bengaluru,Sahakar Nagar,359
Karnataka,Bengaluru,"Skywards Tech Park, Bangalore",360
Karnataka,Bengaluru,Electronic City,361
Karnataka,Bengaluru,Velankani Drive,362
Karnataka,Bengaluru,Bettadasanapura,363
Karnataka,Bengaluru,Doddathogur Village,364
Maharashtra,Mumbai,Airoli Gigaplex,365
Maharashtra,Mumbai,Dombivli East,366
Maharashtra,Mumbai,Airoli,367
Maharashtra,Mumbai,Dombivali,368
Maharashtra,Mumbai,Hiranandani Estate,369
Maharashtra,Mumbai,Waghbil,370
Maharashtra,Mumbai,Thane Hiranandani Estate,371
Maharashtra,Mumbai,Brahmand,372
Maharashtra,Mumbai,Rainbow Apartments,373
Maharashtra,Mumbai,Kopar Khairane,374
Maharashtra,Mumbai,Ghansoli,375
Maharashtra,Mumbai,THANE WEST,376
Maharashtra,Mumbai,Thane,377
Maharashtra,Mumbai,THANE,378
Maharashtra,Mumbai,Lodha Vesta A-B,379
Maharashtra,Mumbai,CHITALSAR MANPADA,380
Maharashtra,Mumbai,Vasant Vihar,381
Tamil Nadu,Chennai,Perambur,382
Tamil Nadu,Chennai,Kellys,383
Tamil Nadu,Chennai,Kilpauk,384
Tamil Nadu,Chennai,Vidya Nagar,385
Tamil Nadu,Chennai,Anna Nagar,386
Tamil Nadu,Chennai,Thyagaraya Nagar,387
Tamil Nadu,Chennai,Nungambakkam,388
Tamil Nadu,Chennai,Purasawalkam,389
Tamil Nadu,Chennai,Selaivayal,390
Tamil Nadu,Chennai,Annanagar,391
Tamil Nadu,Chennai,Chennai,392
Tamil Nadu,Chennai,Kodungaiyur,393
Tamil Nadu,Chennai,Kancheepuram,394
Tamil Nadu,Chennai,Egattur,395
Tamil Nadu,Chennai,Padur,396
Tamil Nadu,Chennai,Siruseri,397
Tamil Nadu,Chennai,Navalur,398
Tamil Nadu,Chennai,Nehru Nagar,399
Tamil Nadu,Chennai,OMR Navalur,400
Tamil Nadu,Chennai,Medavakkam,401
Tamil Nadu,Chennai,Muthamzhil Nagar,402
Tamil Nadu,Chennai,Karapakkam,403
Tamil Nadu,Chennai,Thoraipakkam,404
Delhi,New Delhi,Sector 63,405
Delhi,New Delhi,Sector 62,406
Delhi,New Delhi,Shipra Mall Indirapuram,407
Delhi,New Delhi,Sector 73,408
Delhi,New Delhi,Sector 52,409
Delhi,New Delhi,Sector 65,410
Delhi,New Delhi,Sector 72,411
Delhi,New Delhi,C Block,412
Delhi,New Delhi,Sector 64,413
Delhi,New Delhi,Sector 59 Noida,414
Delhi,New Delhi,Cleo County,415
Delhi,New Delhi,Sector 51,416
Delhi,New Delhi,Sector 76,417
Delhi,New Delhi,Sector 61,418
Delhi,New Delhi,Sector 66,419
Delhi,New Delhi,Raj Nagar Extension,420
Delhi,New Delhi,Sanjay Nagar,421
Delhi,New Delhi,Sector 12,422
Delhi,New Delhi,HUDA SHOPPING COMPLEX,423
Delhi,New Delhi,Greenfields_FBD,424
Delhi,New Delhi,Sector 31,425
Delhi,New Delhi,Marengo Asia Hospitals,426
Delhi,New Delhi,Sector 21,427
Delhi,New Delhi,Sector 15,428
Delhi,New Delhi,Sector 19,429
Delhi,New Delhi,Inder Colony,430
Delhi,New Delhi,Charmwood Village,431
Delhi,New Delhi,Tughlakabad Institutional Area,432
Delhi,New Delhi,Greenfields,433
Delhi,New Delhi,Sector 16,434
Delhi,New Delhi,Sector 37,435
Delhi,New Delhi,Sector 21C,436
